Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
P06702,S100A9,Protein S100-A9,S10A9_HUMAN,14,1088845.125,2413193.75,753871.25,452877.2813,1919756.125,1713701.875,2471513,1324538.375,2398445.5,2341970.5,4119768,1808832.5,2396036,1646254,1149423.5,909039.0625,2738745,422941.4063,785856.125,501896.5313,3350388.5,5300811.5,767702.75,835876.375,3066815.5,3050080.75,764557,422770.4375,680127.75,2658247.5,1528621.125,1470260.625,4819427.5,400605.9688,1796842.625,8555713,1123243.875,1671355.5,1083096.25,713551,524953.0625,1887473.25,716333.25,640307.875,1099024,431188.625,890066.5,320608.5625,1368923.125,780523.375,1275975.125,2481498,175712.2031,799044.0625
P35527,KRT9,"Keratin, type I cytoskeletal 9",K1C9_HUMAN,45,2551594,1701716.875,6664842.5,590859.125,463357.125,1265263.25,3001492.25,3859115,800677.3125,2152152.25,26543.26367,749262.8125,1297792.625,669970.375,282106.25,947388.6875,164569.125,698894.5625,2028492.625,597954.1875,273799,3100549.5,1133652.5,852905,7607298,3337261.25,1739229.25,1696605.125,5364608.5,3701986.75,573855.1875,147357.3125,1288376.125,310467.2813,2347873.5,169934.2656,1217631.375,718863.375,1556555.875,760875.8125,1541286.5,1728701.125,2887533.25,2767487,812522.25,2565578.25,3095355.75,3350341.25,1024912.125,263972.4375,580889.375,6890821.5,744309.5625,351659.375
P10909,CLU,Clusterin,CLUS_HUMAN,29,558552.625,1300518.75,193465.4063,368915.7813,1267178.25,778907.8125,2263423.5,1425601.125,2253988.75,2290989.5,329712.7188,966906.9375,1741090.375,486318.9063,4016768,1953816.375,2671516.5,2194562.5,2361488,2132608.25,571518.25,277069.5,1789985.375,2141049.75,88109.64844,104408,3634129.5,1635004.125,1071115.375,2923576.75,272222.2813,796687.9375,737975.625,922852.875,1289175.875,533486.875,2213890.5,1867995.625,1937673.75,2330797.5,1307205.375,861591.375,321783.875,897939.375,2259294.5,1783776.375,1115130.375,1428866.125,529523.0625,910369.5625,2434984,3648895,1579480,1691601.375
A0A075B6H7,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,KV37_HUMAN,2,860865.4375,915353.375,508180,653764.8125,2685773.75,912875,1794893,1133807.25,1735852.25,1725503,227937.125,575382.1875,1296883.625,1209127.75,2628352,1168269.25,1274577,1121907.375,1357400.75,1096610.875,1592210.25,890620.625,1852980,1839974.25,345494.1875,449916.875,2308780.25,1203221.875,1513761.25,4452821.5,374130.25,725272.3125,2041948.625,2209652,1475061.25,1059602.125,2740220,2904654,1715119.375,1804805.125,1292214.125,1553166.125,882417.75,1531516.875,684686.375,1169323.625,1693063.875,1386124.25,1226223.5,1212808.625,2013982.625,2035125.375,1670775,1958689.625
Q6P5S2,LEG1,Protein LEG1 homolog,LEG1H_HUMAN,17,1367187.125,2070470,1749600.25,412589.0313,804392.1875,1008739.438,2125448.25,1673507.375,886124.625,857301.1875,146087.8906,1561800,2458658.75,1537035.5,1276546.875,799112.6875,1106759.25,1127279.125,4091896,2160274.5,386119.7813,287999.8438,1411731.5,1308694.875,848974.8125,1185396.375,2608936.75,1278370.125,1603747.75,3259618.25,457322.3438,559476.5,1450724.375,2798493.25,483124.3438,168825.4219,978333.1875,1150499.25,1681787.75,2019652.125,1645904.375,2141945.25,742431.5,1048075.188,1379886.5,1286965.25,2086177.875,1971727.25,1653315.25,1155628.75,1505011.625,4510383,1558297.875,1530603.625
P01009,SERPINA1,Alpha-1-antitrypsin,A1AT_HUMAN,42,1168128.625,992936.5625,243794.9844,640103.5625,1978758.5,1933025.25,1165167.875,1307192.5,1050573.625,1711525.625,1217105.75,990344.4375,748743.6875,855888.625,1816992.375,1966612.125,1255683.5,923599.3125,775553.3125,1145620.25,3085814.75,2014457.25,844063.5,1158095.875,265728.2813,321520.4375,2083626,1156558.75,1246821.875,6064650.5,443396.7188,619372.8125,3287077,1746995.125,1186403.625,985719.75,699231.25,2456254.75,858305.5625,1044610.375,948294.8125,2124770.5,394327.8438,718697.375,1310498.5,2335407,637676.5,766692.5,695811.4375,965428.0625,1705285.125,3170625.25,746540.125,1699507.75
Q9Y6R7,FCGBP,IgGFc-binding protein,FCGBP_HUMAN,138,1759573.625,1202527,254805.2969,511147.5938,529765.75,811973.625,1324603.375,1318673.125,3282126.25,4582661,146017.5313,489155.8438,1189590.75,516174.5,1714983.5,2219684.5,881337.75,1280681.875,2205319.5,1924784.125,212431.6406,238721.8594,1684671.625,2160005.5,71029.55469,161686.9688,1271927.125,773068.125,700240.9375,2527452,2069799.75,3145368,1853188.125,2588229.75,2027872,1418786.125,850656.625,1128741.75,956948.875,843624.6875,1399572.75,1410742,354942.4063,616278.875,1636287.5,2475999,1840674.625,1631642.25,1604676.5,1598334.375,938061.875,2560984.5,950881.875,1240257.5
P13646,KRT13,"Keratin, type I cytoskeletal 13",K1C13_HUMAN,37,3278529,33605.99219,1951818.625,196972,443316.5938,968243.3125,2505640.5,70641.625,75000.76563,1118797.125,11625.78516,38213.30078,1481008,176073.5,142662.7969,27948.69922,25248.48242,730345.125,1284748.75,149729.5625,105641.1406,8976644,52288.20313,51725.70703,12557513,7759297,41375.88281,25121.07227,20806.85742,64444.47656,15345.77637,19805.49023,52498.89844,19679.14063,57072.22266,17343.30859,20739.25,32749.98438,25021.56055,139463.8438,26899.23438,2487178.75,5332599.5,61900.53906,111930.8594,39303.75781,71625.3125,292868.0938,20188798,90207.66406,99064.41406,2620611.5,19527.15625,177754.5
P02647,APOA1,Apolipoprotein A-I,APOA1_HUMAN,45,904177.5,354432.2813,107527.8516,808446.0625,486209.9688,853103.5625,581816.375,921867.6875,925465.8125,761637.875,3456644,996430.8125,375366.5625,1310975,788388.3125,783609.25,623269.25,116488.4766,168655.4844,246953.8906,4456265.5,2078293.125,357365.0313,398305.25,184502.8438,185677.1563,1055066.125,358414.625,927241.125,6058810.5,124374.0547,98082.53125,4785428.5,429539.4688,1273393.375,407628.9375,644254.8125,6284641.5,272769.0938,318755.3438,333455.6875,1468498,106883,197616.9375,638458.4375,2201733,420441.625,149043.8281,225462.6406,658654.125,886744.9375,1850000.375,200123.0781,2349800.5
P04083,ANXA1,Annexin A1,ANXA1_HUMAN,34,2105759.5,887238.9375,1122783.875,412037.625,1013198,2132193.75,2591166,1251248.625,822627.1875,1587857.75,537240.25,754364.5625,1812280.75,1001636.75,793039.75,749743.25,746567,763338.9375,932878.6875,706323.4375,632582.3125,4169406.5,1146011.5,975619.5,5217363.5,3169745.25,1435996.375,724154.0625,706981.9375,1684711.25,297932.75,283269.9063,1284889.5,324811.0938,683970.0625,1049973.875,404695.4375,693321.4375,668353.6875,724380,655205.5,1873286.125,1914825.875,982494.875,992107.3125,1032947.125,708576.0625,853826.0625,5862064.5,576543.1875,1431344.875,2522007.5,309341.8438,745663.0625
P07988,SFTPB,Pulmonary surfactant-associated protein B,PSPB_HUMAN,26,769292.5,671764.75,162844.9063,467341.5,1712958.5,3509114.5,2608371.75,4272848,1886118.25,2544102.75,53474.66797,508785.875,1936551.375,136044.1406,720319.875,1197776.375,563420.75,2637902.5,1032588.688,3243854.5,102232.9844,186739.7656,2149157.25,3135679,20853.77148,62643.01953,3673544,1965527.375,417002.0313,1717390.375,115339.1797,219258.5,424501.7188,468860.5313,1324557.625,70989.00781,1082956,1386644.625,723947.5625,1187652,658824.25,896942.6875,438776.8438,1329634.75,3863625.75,2954036.75,694957.4375,2199421.25,167802,191975.0625,672263.3125,1155552.625,499720.0625,1703711.5
Q08380,LGALS3BP,Galectin-3-binding protein,LG3BP_HUMAN,21,695602.25,1038699,480464.0938,452086.125,1386150.625,947350.8125,1921464.75,1654073,1405985.125,1453381.375,468349.5938,766894.0625,1310487.875,638881.25,1659122.875,1151704.5,1857081,1709861,1442974.875,1343347.5,427284.125,333305.7813,1292988.125,1430604.75,324635.5,397322,3009072,1799408.25,1296022.5,3384664.25,564207.375,932933.375,846464.375,908452.5625,940062.4375,966745.125,1061238.5,1548256.25,1222962.75,1250137.625,1277454.625,1245800.125,541909.25,982992.3125,1643238.25,1831226.5,864764,1202084.625,977763.25,753138.875,1483977.375,2917464.5,941817.0625,1124574.25
P01011,SERPINA3,Alpha-1-antichymotrypsin,AACT_HUMAN,28,1163086.5,1548464.875,169132.4688,373729.2188,825688.9375,839991.875,1975094.625,1342406.875,836625.25,824655.1875,617700.5,598222.5,1514148.875,595376.3125,1184440.5,704900,3006719.25,765182.125,1590919,1144232.75,591213,304232.9063,841215.75,1158511.875,134347.25,191068.7813,1519862,634787.4375,1336374.5,4763589.5,3369204.5,1929393.125,2112987,1247896.75,1290347.5,2707179.75,732158.9375,1185706.5,766517.6875,1238732.375,660433.375,847103.625,414348.1563,739281.375,955139,936618.1875,1063025.5,809033.75,827911.5625,653780.5,959162.6875,3513233,691715.8125,886012.5
P10163,PRB4,Basic salivary proline-rich protein 4,PRB4_HUMAN,10,901109.1875,1211915,618740.5625,332729.9688,466222.875,571577.75,2804286,1639551.75,1577634,1386990.5,38590.21484,552598.5,2103424.5,1310256.875,1162905.875,397049.8438,379733.375,576676.8125,1697647.875,1264532.625,256373.6094,259123.3594,717411.625,1801007.125,1292798.5,1018230.25,824383.75,337028.1563,175111.375,489253.75,246268.375,218538.9375,1514929.875,979016.9375,1113814.25,142678.7188,37794.67578,129572.5078,1019925.813,688291.875,55266.39063,118081.0859,1403638.375,2742710.75,5596771.5,695471.25,799656,2162748.25,449760.9688,894152,1049803.375,4885972.5,1411777.875,3838948
P20160,AZU1,Azurocidin,CAP7_HUMAN,8,778779.9375,1719975.375,465634.5938,544858.5625,455264.3438,603430.4375,2252417.25,967789.8125,1178764.25,1412674.75,676509.4375,916435.375,747432.375,725978.375,267724.125,198533.2656,1669805.125,155159.7188,772261.875,410630,843082.5625,1593916.125,417264.75,465193.1563,3854798.75,1320431,563430.0625,291844.4375,570748.9375,2061892.5,1784958.375,1130860.25,5056546,625937.8125,1251843.25,3732461.75,365617.3438,303509.0625,323565.9063,327834.4688,337395.7188,973405.625,496034.25,525757.3125,426647.0625,184560.6406,882110.875,313560.9688,2510569.25,638697.75,812338.25,1559845.625,311384.6875,479886.9063
P07737,PFN1,Profilin-1,PROF1_HUMAN,15,808820.8125,962830.8125,344278.4375,646305.75,513388.8125,839257.0625,1776408.5,1245817.5,949708.5625,1492398.375,892357.25,537515.125,787792.75,666427,853825.9375,793065.5,1867731.875,661189.25,820660.3125,1231587,993135.9375,1332102.75,815883.8125,1685805.625,622961.3125,856693.8125,994620.5625,1129863.125,574122.6875,2482142.25,832710.375,727415.25,2262755.25,865247.9375,692480.5625,1589260.5,479311,700940.875,706881.9375,798358.3125,612901.625,1124191.625,584024,1089002.125,1136111.25,1092362.375,666566.375,1175344.875,1631873.625,631281.4375,905350.75,2522020,447689.1563,667586.875
P15311,EZR,Ezrin,EZRI_HUMAN,47,566958.25,1126627.75,162147.7031,293959,861265.25,897724.1875,1949543.75,1293354.75,1057185.5,1215837.25,249838.5781,957915.4375,1388631.5,357818.625,981034.375,931248.4375,1510654.25,2061732.625,1051213.5,1065565.25,208500.9063,321668.6875,1091857.75,1315601,124784.0391,155981.5938,1481791.625,867679.5625,785197,1993726.5,531903.75,581464.75,637393.625,511259.7813,694418.875,796061,807706.1875,1020919.25,1701373.875,1815576.25,1085310.25,610773.125,471993.7188,884403.8125,1402155.125,1316736.75,1002961.938,1308303.625,875919.5,551141.125,1370060.5,2564019.25,569392,847213.625
P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,G3P_HUMAN,25,949185.8125,1091501.25,422329.6875,494346.0938,569899.75,1104927.125,1627776.75,1281658.5,897104.375,1353470,395065.0938,812984.375,964011.5,744995.3125,791622,743234.9375,1531942.875,628557.1875,799106.6875,1031000.938,1066144.625,1074773.625,775832.625,1240824.5,981879.875,1067166,1080459.875,863259.5625,792691,3264430.5,458290.1563,485728.75,1765028.25,534078.3125,823870.875,574158.1875,439104.75,672689.3125,620221.125,698713.8125,641560.625,1183051.75,625182,946962.0625,992624.0625,916411.625,810650.6875,916646.375,1787346,721025.8125,934258.0625,2382589.5,409159.3125,530463.25
P06312,IGKV4-1,Immunoglobulin kappa variable 4-1,KV401_HUMAN,5,599050.5,932811.3125,353730.875,421234.5,557160.125,738489.875,1276134.625,636988.1875,672905.25,875327.5625,226226.8281,702745.625,479399.6875,441340,627747.25,780739.625,1530183.875,910417.875,1024433.5,864365.9375,715719,483375.625,982475.125,1038234.938,251332.6406,347698.375,1748815.25,885512.5,1004949.688,3828504.75,1314204.875,1915829.375,1669500.125,868898.125,792303.875,432876.0313,620488.4375,857101.0625,910686,1001177.188,959348.9375,1131504.25,573068.25,1053657.125,859188.6875,1233406.5,1208523.25,781464.0625,823259.1875,497367.4688,1432237.875,2017744.5,761464.3125,544869.0625
P35241,RDX,Radixin,RADI_HUMAN,37,561077.3125,891546.375,168013.125,272130.75,606670,872485.6875,1744169.25,1234452.625,941628.0625,1236645.875,266520.6563,685482.9375,1226269.625,286601.3438,854162.3125,827703.0625,1340756.375,1697246,1004961,1283608.375,257110.125,398363.5,911408.4375,1413179.875,146576.5625,165594.6094,1439719.625,928521.5,658116.0625,1881012.5,444362.5313,514285.5938,710360.9375,527944.6875,654935.625,747489.875,648195.875,821044.6875,1161955.25,1428515.5,920259.8125,672621.125,482396.9375,1072357.5,1163497.125,1401635.875,792913.5625,1353426.875,939832.0625,445255.4063,1356549.625,2644643.25,541041.4375,717645.4375
P07477,PRSS1,Trypsin-1,TRY1_HUMAN,2,9570019,174900.4219,651117.875,130848.7656,630766.8125,272847.75,547042.25,586330.4375,4079141.5,532669.4375,6886.470215,222192.4844,3309870,214420.6406,147055.5938,80687.49219,52435.00391,908671.625,223651.0313,1960807.625,1908296.875,3584704.75,423643.8125,370292.6563,1093472.125,772115.9375,446043.5938,223407.7969,94063.24219,456105.875,322122.2188,24153.57422,192424.3906,25965.52734,99184.28906,23000.04688,138083.7031,263682.9375,100241.5625,118218.5234,157826.9688,293744.5625,3455811,364619.7813,3447407.5,176265.4531,905849.1875,2270584.25,216247.4844,24996.95898,272415.3125,373299.7813,117978.6016,1723505.5
O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879,H2BC12;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14,Histone H2B type 1-K;Histone H2B type 1-D;Histone H2B type 1-C/E/F/G/I;Histone H2B type 2-F;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-M,H2B1K_HUMAN;H2B1D_HUMAN;H2B1C_HUMAN;H2B2F_HUMAN;H2B1H_HUMAN;H2B1N_HUMAN;H2B1M_HUMAN,10,608984.8125,812856.375,270631.0313,490872.0938,774335.3125,734467.9375,2046198.875,1063589.125,649606.875,586152.1875,1235145.5,780540.9375,859138.5625,941731.5625,282311.375,258202.9063,1035592.75,417653.3125,428301.875,588341.5,2294521.5,3895837,297773.2813,301396.7813,1172101.375,709495.9375,466018.5,438474.5313,617923.875,1557286.625,606255.625,603195,1974992.375,390230.6563,646459.8125,1543691.5,201324.1406,195382.8125,377089.5,349960.4063,490299.875,937185.5,566250.4375,408739.1875,328245.3125,196418.0938,1054944.125,483473.125,3283423,976975.125,944253.5625,2768827,293687.75,484731.2188
P01024,C3,Complement C3,CO3_HUMAN,160,649462.75,634815.4375,66195.73438,293135.8125,692710.5625,1061173.375,1416741.75,1797327.125,715439,1091474.75,457191.75,474919.3438,627253.9375,402479.4375,536378.625,553978.3125,686781.75,541576,839896.375,1200447.625,978230.0625,507058.7188,752264,1204258.125,62777.12109,111704.3203,1094630.5,546552,682675.875,3143241.25,444485.9375,597130.1875,1652712.5,948695.625,477432.4063,376598.0313,422396.7188,1218116.5,990403.75,1064174.5,473826.4375,645964.0625,216468.9219,636716.125,1165553.875,2029898.25,628704.5625,1113789.875,512047.8438,731287.6875,1112680.5,2623174,528412.6875,1043918.063
P23280,CA6,Carbonic anhydrase 6,CAH6_HUMAN,14,697044.4375,323493.5313,1899355.75,646377.6875,298958.9688,589429.1875,849778.75,1821947.75,1271320.25,1006851.688,17092.75977,652271.875,2988864.5,1802552.875,157680.0469,108148.5859,92396.6875,439993.625,618519.6875,590324.6875,405477.0938,257628.0469,1352896.125,240249.4375,1775205.625,1455315.875,458002.1563,449939.3438,592900.25,1095960.25,150170.2188,160291.1719,250836.9844,138751.375,580216.75,50198.50391,1707857.75,2666862,504477.3438,588296.75,1184860.125,2350421,1047359.25,2756988.25,283803.625,413478.875,348403.5625,626639.5625,190104.5156,960836.375,651697.875,2058522.875,283863.125,575266.1875
P06396,GSN,Gelsolin,GELS_HUMAN,58,600012.4375,944512.6875,103862.7656,277915.5625,638037.25,809997.125,937436.625,833617.0625,1233049.625,1748008.75,189668.4219,516397.0938,749047.125,413825.4375,1009588.938,1857533.125,790926,960706.3125,592130.75,959604.125,577590.8125,426964.1563,604122.4375,1074213.875,179774.8594,248572.0469,1241226,723552.5625,480450.4375,1532722.375,244618.2969,357549.75,840747.125,478726.625,767939.625,531068.375,1447542.5,1770601.125,913628.0625,945313.6875,1032673,732442.75,364472.5625,687091.1875,1321637.125,1814271.5,387061.0313,644075.8125,590483,563335.75,1003380.875,2466549.5,411606,701299.3125
P00450,CP,Ceruloplasmin,CERU_HUMAN,70,529033.1875,721959.3125,141407.7031,358091.5938,756899.6875,888337.5,1239588.25,971226.9375,957325.875,1281658.375,201562.4063,370914.3125,885426.4375,473543.0313,685272.8125,784887.1875,845643.0625,1036504.25,648648.1875,957466.375,1094569.625,820556.8125,957328.25,1417023.625,114785.9609,131061.2266,1495405,780873.1875,565304.0625,1952324.75,353667.4063,476051.7813,1641144.5,918014.6875,616226.625,369219.6563,513634.4688,1045806.438,1213989.25,1212994.25,629517.625,832708.6875,231639.1406,508595.9688,1135741.5,1179107.75,635692.625,843784,453822.5625,513054.9063,1111635.75,1987245,446985.3438,762939.5625
P62805,H4C1,Histone H4,H4_HUMAN,15,344112.4375,629506.25,145962.0781,369306.1875,1168938.875,1228566.125,1138325.125,645628.0625,1010800.75,928292.3125,1368285.875,930769.3125,1554507.5,1658746.5,506279.5938,414306.8125,877218.125,500926.4688,370485.5625,448885.9688,3198077.5,5354372,235258.7344,294080.4375,728496.25,463520.3438,298088.9688,351908.5313,338042.3438,854917.1875,412612.2813,366719.2188,1401640.625,108535.9375,1143229.875,1205122.875,348342.0313,404434.1875,302185.75,315829.9063,353241,917508.5,321949.2813,216573.875,394862.2813,157224.2031,616230.125,249525.4219,1058547.25,374201.0625,489796.5313,1510737,104417.5859,460886.5
Q14508,WFDC2,WAP four-disulfide core domain protein 2,WFDC2_HUMAN,6,514318.375,414458.6875,88552.70313,235248.375,873573.5625,605677.8125,1144714.875,981649.25,944113.9375,1455339.375,118748.9609,658494.125,1130554.375,358185.4688,1363866.25,989912.625,812992.5,1202526.125,500197.6875,608925.625,190567.5781,182898.3125,688158.4375,929944.875,98671.99219,167029.5,1423838,804261.5,640437.375,1563579.125,604291.1875,920249.75,702820.75,2080056.625,471685.125,570462.75,891684.5625,1266466.375,939629.875,897790.4375,601142.0625,866803.0625,144354.0938,427315.6563,1810591,1081981.375,385988.9688,611181.6875,289961.4063,515349.9688,985423.875,2074970.375,299499.1875,610048.75
P02533,KRT14,"Keratin, type I cytoskeletal 14",K1C14_HUMAN,44,1362792.25,241200.9844,1658698.625,191551.0469,176953.4688,676522.875,932197.4375,902507.8125,206140.3906,813238.75,35437.97266,158171.6719,572543.4375,187951.125,112175.5625,192827.7969,76333.77344,330484.75,1151127.625,246543.875,129515.5078,3252023,208849.4688,204311.5469,5863483,2276837.75,581990,296079.1875,982897,726544,180375.4688,44357.75,310459.0625,126033.4453,335919.625,69003.71094,201298.25,162469.1719,313710.3125,208224.125,298422.9375,1377617.875,2001208.375,505900.9688,212469.5469,522947.7188,637149.3125,591334.0625,6565830.5,108324.2969,333941.9688,2761637,131343.1094,141899.4531
P0C0S8;Q96KK5;Q99878;Q9BTM1,H2AC11;H2AC12;H2AC14;H2AJ,Histone H2A type 1;Histone H2A type 1-H;Histone H2A type 1-J;Histone H2A.J,H2A1_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2AJ_HUMAN,9,284875.2188,782609.875,267979.625,368728.2813,675722.3125,639380.875,1499647.25,1012563.125,781135.8125,636984.6875,3093024.75,655854.3125,853721.0625,1011314.938,472654.125,348016.5,1082299.5,504746.9063,411179,517792.0625,1184434.125,1464151.25,287125.8438,423296.125,567019.5625,457710.6875,542101.1875,468209.2188,508640.8438,1656299.75,540538.5625,557106.1875,1676347.5,217563.7969,561436.375,1087744.875,291430.1875,310858.375,467016.4375,374387.125,414029.875,690010.75,373213.6875,403036.6875,346983.5,213279.1094,687804.5,389830.5938,1199241.125,753451.25,644230.25,2249498,182631.2344,512823.5
P08246,ELANE,Neutrophil elastase,ELNE_HUMAN,11,754086.4375,1277504.625,278226.5938,423818.25,347308.5625,441333.9063,1545837.625,703019.625,674151.875,846114.125,776533.25,556944.75,414622.3125,510848.6563,236079.5313,172927.2969,1110259.25,113725.8828,464259.625,273236.6563,1119615.75,1675484.875,408515,322382.0313,2622495,1004934.5,507502.875,217484.7813,357372.375,2067281.625,1187999.25,983895.5,2268218,454850.8438,625592.5625,2435113.25,175107.25,145179.3125,503463.2188,354921.875,184187,526053.8125,288025.7813,297041.6563,304950.3438,160460.5625,690057.625,219514.4688,1730456.5,311562.9375,488891.3438,1403967.75,306882.1563,267977.9688
